preco,quartos,banheiros,area,endereco,vagas_garagem,condominio,fonte,tipo,transacao,regiao,preco_m2,data_coleta,id_unico,id_simulado
"R$ 1,364,166",3 quartos,3 banheiros,119 m²,"Cobertura em Asa Sul, Brasília - DF - 002",3 vagas,R$ 16375,OLX Imóveis DF,cobertura,venda,Asa Sul,"R$ 11,463/m²",2025-09-27 14:13,Cobertura_Asa Sul_119_1364166_1,SIM_0002
"R$ 558,285",3 quartos,3 banheiros,81 m²,"Apartamento em Asa Norte, Brasília - DF - 003",2 vagas,R$ 7779,OLX Imóveis DF,apartamento,venda,Asa Norte,"R$ 6,892/m²",2025-09-27 14:13,Apartamento_Asa Norte_81_558285_2,SIM_0003
"R$ 418,791",2 quartos,2 banheiros,85 m²,"Apartamento em Águas Claras, Brasília - DF - 004",3 vagas,R$ 4151,OLX Imóveis DF,apartamento,venda,Águas Claras,"R$ 4,926/m²",2025-09-27 14:13,Apartamento_Águas Claras_85_418791_3,SIM_0004
"R$ 350,000",4 quartos,4 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 005",2 vagas,R$ 2935,OLX Imóveis DF,apartamento,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_350000_4,SIM_0005
"R$ 759,019",4 quartos,4 banheiros,121 m²,"Apartamento em Sudoeste, Brasília - DF - 006",3 vagas,R$ 11187,OLX Imóveis DF,apartamento,venda,Sudoeste,"R$ 6,272/m²",2025-09-27 14:13,Apartamento_Sudoeste_121_759019_5,SIM_0006
"R$ 465,962",3 quartos,3 banheiros,112 m²,"Apartamento em Águas Claras, Brasília - DF - 007",1 vagas,R$ 5152,OLX Imóveis DF,apartamento,venda,Águas Claras,"R$ 4,160/m²",2025-09-27 14:13,Apartamento_Águas Claras_112_465962_6,SIM_0007
"R$ 409,201",2 quartos,2 banheiros,61 m²,"Apartamento em Sudoeste, Brasília - DF - 008",2 vagas,R$ 3671,OLX Imóveis DF,apartamento,venda,Sudoeste,"R$ 6,708/m²",2025-09-27 14:13,Apartamento_Sudoeste_61_409201_7,SIM_0008
"R$ 500,000",3 quartos,3 banheiros,118 m²,"Cobertura em Taguatinga, Brasília - DF - 009",2 vagas,R$ 2960,OLX Imóveis DF,cobertura,venda,Taguatinga,"R$ 4,237/m²",2025-09-27 14:13,Cobertura_Taguatinga_118_500000_8,SIM_0009
"R$ 283,053",2 quartos,2 banheiros,64 m²,"Apartamento em Guará, Brasília - DF - 010",2 vagas,R$ 3374,OLX Imóveis DF,apartamento,venda,Guará,"R$ 4,422/m²",2025-09-27 14:13,Apartamento_Guará_64_283053_9,SIM_0010
"R$ 502,094",3 quartos,2 banheiros,98 m²,"Apartamento em Águas Claras, Brasília - DF - 001",1 vagas,R$ 5402,QuintoAndar DF,apartamento,venda,Águas Claras,"R$ 5,123/m²",2025-09-27 14:13,Apartamento_Águas Claras_98_502094_0,SIM_0001
"R$ 300,000",1 quartos,1 banheiros,51 m²,"Flat em Águas Claras, Brasília - DF - 002",1 vagas,R$ 2664,QuintoAndar DF,flat,venda,Águas Claras,"R$ 5,882/m²",2025-09-27 14:13,Flat_Águas Claras_51_300000_1,SIM_0002
"R$ 744,356",3 quartos,2 banheiros,111 m²,"Cobertura em Sudoeste, Brasília - DF - 003",1 vagas,R$ 10124,QuintoAndar DF,cobertura,venda,Sudoeste,"R$ 6,705/m²",2025-09-27 14:13,Cobertura_Sudoeste_111_744356_2,SIM_0003
"R$ 288,984",1 quartos,1 banheiros,66 m²,"Flat em Taguatinga, Brasília - DF - 004",2 vagas,R$ 4270,QuintoAndar DF,flat,venda,Taguatinga,"R$ 4,378/m²",2025-09-27 14:13,Flat_Taguatinga_66_288984_3,SIM_0004
"R$ 319,570",2 quartos,2 banheiros,82 m²,"Apartamento em Ceilândia, Brasília - DF - 005",1 vagas,R$ 1656,QuintoAndar DF,apartamento,venda,Ceilândia,"R$ 3,897/m²",2025-09-27 14:13,Apartamento_Ceilândia_82_319570_4,SIM_0005
"R$ 800,000",3 quartos,2 banheiros,123 m²,"Apartamento em Águas Claras, Brasília - DF - 006",2 vagas,R$ 9511,QuintoAndar DF,apartamento,venda,Águas Claras,"R$ 6,504/m²",2025-09-27 14:13,Apartamento_Águas Claras_123_800000_5,SIM_0006
"R$ 371,269",2 quartos,2 banheiros,82 m²,"Apartamento em Taguatinga, Brasília - DF - 007",2 vagas,R$ 2652,QuintoAndar DF,apartamento,venda,Taguatinga,"R$ 4,527/m²",2025-09-27 14:13,Apartamento_Taguatinga_82_371269_6,SIM_0007
"R$ 150,000",1 quartos,1 banheiros,40 m²,"Studio em Ceilândia, Brasília - DF - 008",2 vagas,R$ 1627,QuintoAndar DF,studio,venda,Ceilândia,"R$ 3,750/m²",2025-09-27 14:13,Studio_Ceilândia_40_150000_7,SIM_0008
"R$ 319,317",2 quartos,2 banheiros,95 m²,"Apartamento em Guará, Brasília - DF - 009",1 vagas,R$ 3416,QuintoAndar DF,apartamento,venda,Guará,"R$ 3,361/m²",2025-09-27 14:13,Apartamento_Guará_95_319317_8,SIM_0009
"R$ 289,730",1 quartos,1 banheiros,62 m²,"Flat em Vicente Pires, Brasília - DF - 010",1 vagas,R$ 3457,QuintoAndar DF,flat,venda,Vicente Pires,"R$ 4,673/m²",2025-09-27 14:13,Flat_Vicente Pires_62_289730_9,SIM_0010
"R$ 372,302",2 quartos,2 banheiros,78 m²,"Apartamento em Taguatinga, Brasília - DF - 011",1 vagas,R$ 3650,QuintoAndar DF,apartamento,venda,Taguatinga,"R$ 4,773/m²",2025-09-27 14:13,Apartamento_Taguatinga_78_372302_10,SIM_0011
"R$ 310,801",1 quartos,1 banheiros,60 m²,"Apartamento em Vicente Pires, Brasília - DF - 012",1 vagas,R$ 3633,QuintoAndar DF,apartamento,venda,Vicente Pires,"R$ 5,180/m²",2025-09-27 14:13,Apartamento_Vicente Pires_60_310801_11,SIM_0012
"R$ 350,000",4 quartos,4 banheiros,100 m²,"Cobertura em Ceilândia, Brasília - DF - 013",1 vagas,R$ 2808,QuintoAndar DF,cobertura,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Cobertura_Ceilândia_100_350000_12,SIM_0013
"R$ 250,000",1 quartos,1 banheiros,50 m²,"Apartamento em Guará, Brasília - DF - 014",1 vagas,R$ 3704,QuintoAndar DF,apartamento,venda,Guará,"R$ 5,000/m²",2025-09-27 14:13,Apartamento_Guará_50_250000_13,SIM_0014
"R$ 706,840",3 quartos,3 banheiros,96 m²,"Apartamento em Asa Sul, Brasília - DF - 001",1 vagas,R$ 5777,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 7,362/m²",2025-09-27 14:13,Apartamento_Asa Sul_96_706840_0,SIM_0001
"R$ 286,875",3 quartos,3 banheiros,94 m²,"Apartamento em Taguatinga, Brasília - DF - 002",0 vagas,R$ 3532,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,051/m²",2025-09-27 14:13,Apartamento_Taguatinga_94_286875_1,SIM_0002
"R$ 397,021",1 quartos,1 banheiros,70 m²,"Studio em Águas Claras, Brasília - DF - 003",2 vagas,R$ 2697,Simulação Realística v2.0,studio,venda,Águas Claras,"R$ 5,671/m²",2025-09-27 14:13,Studio_Águas Claras_70_397021_2,SIM_0003
"R$ 400,000",1 quartos,1 banheiros,45 m²,"Flat em Asa Norte, Brasília - DF - 004",2 vagas,R$ 5069,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 8,888/m²",2025-09-27 14:13,Flat_Asa Norte_45_400000_3,SIM_0004
"R$ 350,000",1 quartos,1 banheiros,65 m²,"Studio em Sudoeste, Brasília - DF - 005",1 vagas,R$ 2432,Simulação Realística v2.0,studio,venda,Sudoeste,"R$ 5,384/m²",2025-09-27 14:13,Studio_Sudoeste_65_350000_4,SIM_0005
"R$ 336,675",2 quartos,2 banheiros,84 m²,"Apartamento em Vicente Pires, Brasília - DF - 006",1 vagas,R$ 4248,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,008/m²",2025-09-27 14:13,Apartamento_Vicente Pires_84_336675_5,SIM_0006
"R$ 578,487",4 quartos,4 banheiros,131 m²,"Apartamento em Vicente Pires, Brasília - DF - 007",2 vagas,R$ 5545,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,415/m²",2025-09-27 14:13,Apartamento_Vicente Pires_131_578487_6,SIM_0007
"R$ 334,477",1 quartos,1 banheiros,61 m²,"Apartamento em Águas Claras, Brasília - DF - 008",2 vagas,R$ 4839,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,483/m²",2025-09-27 14:13,Apartamento_Águas Claras_61_334477_7,SIM_0008
"R$ 350,839",2 quartos,2 banheiros,83 m²,"Apartamento em Águas Claras, Brasília - DF - 009",2 vagas,R$ 2664,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 4,226/m²",2025-09-27 14:13,Apartamento_Águas Claras_83_350839_8,SIM_0009
"R$ 700,000",4 quartos,3 banheiros,131 m²,"Cobertura em Vicente Pires, Brasília - DF - 010",1 vagas,R$ 9623,Simulação Realística v2.0,cobertura,venda,Vicente Pires,"R$ 5,343/m²",2025-09-27 14:13,Cobertura_Vicente Pires_131_700000_9,SIM_0010
"R$ 150,000",1 quartos,1 banheiros,40 m²,"Studio em Ceilândia, Brasília - DF - 011",1 vagas,R$ 1342,Simulação Realística v2.0,studio,venda,Ceilândia,"R$ 3,750/m²",2025-09-27 14:13,Studio_Ceilândia_40_150000_10,SIM_0011
"R$ 309,188",1 quartos,1 banheiros,72 m²,"Flat em Guará, Brasília - DF - 012",1 vagas,R$ 4081,Simulação Realística v2.0,flat,venda,Guará,"R$ 4,294/m²",2025-09-27 14:13,Flat_Guará_72_309188_11,SIM_0012
"R$ 643,315",2 quartos,1 banheiros,90 m²,"Apartamento em Asa Norte, Brasília - DF - 013",2 vagas,R$ 6234,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 7,147/m²",2025-09-27 14:13,Apartamento_Asa Norte_90_643315_12,SIM_0013
"R$ 1,051,957",3 quartos,3 banheiros,113 m²,"Cobertura em Asa Norte, Brasília - DF - 014",2 vagas,R$ 7612,Simulação Realística v2.0,cobertura,venda,Asa Norte,"R$ 9,309/m²",2025-09-27 14:13,Cobertura_Asa Norte_113_1051957_13,SIM_0014
"R$ 672,584",3 quartos,3 banheiros,86 m²,"Duplex em Asa Sul, Brasília - DF - 015",1 vagas,R$ 9113,Simulação Realística v2.0,duplex,venda,Asa Sul,"R$ 7,820/m²",2025-09-27 14:13,Duplex_Asa Sul_86_672584_14,SIM_0015
"R$ 449,710",1 quartos,1 banheiros,67 m²,"Apartamento em Águas Claras, Brasília - DF - 016",1 vagas,R$ 3062,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,712/m²",2025-09-27 14:13,Apartamento_Águas Claras_67_449710_15,SIM_0016
"R$ 288,238",2 quartos,1 banheiros,66 m²,"Flat em Taguatinga, Brasília - DF - 017",1 vagas,R$ 4264,Simulação Realística v2.0,flat,venda,Taguatinga,"R$ 4,367/m²",2025-09-27 14:13,Flat_Taguatinga_66_288238_16,SIM_0017
"R$ 237,245",3 quartos,3 banheiros,89 m²,"Apartamento em Ceilândia, Brasília - DF - 018",1 vagas,R$ 2005,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,665/m²",2025-09-27 14:13,Apartamento_Ceilândia_89_237245_17,SIM_0018
"R$ 350,000",3 quartos,3 banheiros,98 m²,"Apartamento em Ceilândia, Brasília - DF - 019",0 vagas,R$ 3307,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,571/m²",2025-09-27 14:13,Apartamento_Ceilândia_98_350000_18,SIM_0019
"R$ 302,948",1 quartos,1 banheiros,50 m²,"Apartamento em Águas Claras, Brasília - DF - 020",1 vagas,R$ 1884,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,058/m²",2025-09-27 14:13,Apartamento_Águas Claras_50_302948_19,SIM_0020
"R$ 274,309",3 quartos,3 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 021",1 vagas,R$ 1669,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,743/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_274309_20,SIM_0021
"R$ 437,412",2 quartos,1 banheiros,77 m²,"Flat em Asa Norte, Brasília - DF - 022",2 vagas,R$ 3656,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 5,680/m²",2025-09-27 14:13,Flat_Asa Norte_77_437412_21,SIM_0022
"R$ 500,051",2 quartos,2 banheiros,104 m²,"Apartamento em Vicente Pires, Brasília - DF - 023",2 vagas,R$ 2694,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,808/m²",2025-09-27 14:13,Apartamento_Vicente Pires_104_500051_22,SIM_0023
"R$ 638,481",2 quartos,2 banheiros,85 m²,"Apartamento em Sudoeste, Brasília - DF - 024",2 vagas,R$ 6857,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 7,511/m²",2025-09-27 14:13,Apartamento_Sudoeste_85_638481_23,SIM_0024
"R$ 277,279",4 quartos,4 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 025",0 vagas,R$ 2287,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,772/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_277279_24,SIM_0025
"R$ 200,000",1 quartos,1 banheiros,45 m²,"Apartamento em Taguatinga, Brasília - DF - 026",2 vagas,R$ 1463,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 4,444/m²",2025-09-27 14:13,Apartamento_Taguatinga_45_200000_25,SIM_0026
"R$ 350,000",1 quartos,1 banheiros,64 m²,"Flat em Sudoeste, Brasília - DF - 027",2 vagas,R$ 4004,Simulação Realística v2.0,flat,venda,Sudoeste,"R$ 5,468/m²",2025-09-27 14:13,Flat_Sudoeste_64_350000_26,SIM_0027
"R$ 350,000",1 quartos,1 banheiros,47 m²,"Studio em Sudoeste, Brasília - DF - 028",2 vagas,R$ 4147,Simulação Realística v2.0,studio,venda,Sudoeste,"R$ 7,446/m²",2025-09-27 14:13,Studio_Sudoeste_47_350000_27,SIM_0028
"R$ 240,335",2 quartos,2 banheiros,63 m²,"Apartamento em Taguatinga, Brasília - DF - 029",1 vagas,R$ 3521,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,814/m²",2025-09-27 14:13,Apartamento_Taguatinga_63_240335_28,SIM_0029
"R$ 500,000",3 quartos,2 banheiros,115 m²,"Cobertura em Taguatinga, Brasília - DF - 030",0 vagas,R$ 7149,Simulação Realística v2.0,cobertura,venda,Taguatinga,"R$ 4,347/m²",2025-09-27 14:13,Cobertura_Taguatinga_115_500000_29,SIM_0030
"R$ 350,000",1 quartos,1 banheiros,49 m²,"Flat em Sudoeste, Brasília - DF - 031",1 vagas,R$ 4006,Simulação Realística v2.0,flat,venda,Sudoeste,"R$ 7,142/m²",2025-09-27 14:13,Flat_Sudoeste_49_350000_30,SIM_0031
"R$ 624,478",3 quartos,3 banheiros,109 m²,"Apartamento em Águas Claras, Brasília - DF - 032",3 vagas,R$ 3554,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,729/m²",2025-09-27 14:13,Apartamento_Águas Claras_109_624478_31,SIM_0032
"R$ 649,482",3 quartos,3 banheiros,124 m²,"Apartamento em Águas Claras, Brasília - DF - 033",2 vagas,R$ 4179,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,237/m²",2025-09-27 14:13,Apartamento_Águas Claras_124_649482_32,SIM_0033
"R$ 1,004,041",4 quartos,4 banheiros,121 m²,"Apartamento em Asa Norte, Brasília - DF - 034",2 vagas,R$ 9793,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 8,297/m²",2025-09-27 14:13,Apartamento_Asa Norte_121_1004041_33,SIM_0034
"R$ 544,398",2 quartos,2 banheiros,91 m²,"Apartamento em Asa Norte, Brasília - DF - 035",1 vagas,R$ 5752,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 5,982/m²",2025-09-27 14:13,Apartamento_Asa Norte_91_544398_34,SIM_0035
"R$ 498,554",2 quartos,2 banheiros,91 m²,"Flat em Sudoeste, Brasília - DF - 036",2 vagas,R$ 3705,Simulação Realística v2.0,flat,venda,Sudoeste,"R$ 5,478/m²",2025-09-27 14:13,Flat_Sudoeste_91_498554_35,SIM_0036
"R$ 200,000",1 quartos,1 banheiros,45 m²,"Studio em Taguatinga, Brasília - DF - 037",2 vagas,R$ 2085,Simulação Realística v2.0,studio,venda,Taguatinga,"R$ 4,444/m²",2025-09-27 14:13,Studio_Taguatinga_45_200000_36,SIM_0037
"R$ 571,962",2 quartos,1 banheiros,94 m²,"Apartamento em Asa Norte, Brasília - DF - 038",1 vagas,R$ 3540,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 6,084/m²",2025-09-27 14:13,Apartamento_Asa Norte_94_571962_37,SIM_0038
"R$ 284,088",1 quartos,1 banheiros,61 m²,"Apartamento em Guará, Brasília - DF - 039",1 vagas,R$ 1975,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,657/m²",2025-09-27 14:13,Apartamento_Guará_61_284088_38,SIM_0039
"R$ 600,000",4 quartos,4 banheiros,130 m²,"Apartamento em Guará, Brasília - DF - 040",1 vagas,R$ 3419,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,615/m²",2025-09-27 14:13,Apartamento_Guará_130_600000_39,SIM_0040
"R$ 246,676",2 quartos,1 banheiros,56 m²,"Flat em Taguatinga, Brasília - DF - 041",3 vagas,R$ 3110,Simulação Realística v2.0,flat,venda,Taguatinga,"R$ 4,404/m²",2025-09-27 14:13,Flat_Taguatinga_56_246676_40,SIM_0041
"R$ 623,480",3 quartos,2 banheiros,87 m²,"Apartamento em Sudoeste, Brasília - DF - 042",1 vagas,R$ 6897,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 7,166/m²",2025-09-27 14:13,Apartamento_Sudoeste_87_623480_41,SIM_0042
"R$ 387,240",3 quartos,2 banheiros,96 m²,"Apartamento em Guará, Brasília - DF - 043",1 vagas,R$ 3599,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,033/m²",2025-09-27 14:13,Apartamento_Guará_96_387240_42,SIM_0043
"R$ 850,810",3 quartos,3 banheiros,118 m²,"Apartamento em Sudoeste, Brasília - DF - 044",2 vagas,R$ 7706,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 7,210/m²",2025-09-27 14:13,Apartamento_Sudoeste_118_850810_43,SIM_0044
"R$ 675,498",2 quartos,2 banheiros,93 m²,"Apartamento em Asa Norte, Brasília - DF - 045",2 vagas,R$ 6220,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 7,263/m²",2025-09-27 14:13,Apartamento_Asa Norte_93_675498_44,SIM_0045
"R$ 621,903",2 quartos,2 banheiros,108 m²,"Cobertura em Vicente Pires, Brasília - DF - 046",2 vagas,R$ 5907,Simulação Realística v2.0,cobertura,venda,Vicente Pires,"R$ 5,758/m²",2025-09-27 14:13,Cobertura_Vicente Pires_108_621903_45,SIM_0046
"R$ 468,506",3 quartos,3 banheiros,87 m²,"Apartamento em Águas Claras, Brasília - DF - 047",2 vagas,R$ 5515,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,385/m²",2025-09-27 14:13,Apartamento_Águas Claras_87_468506_46,SIM_0047
"R$ 354,880",3 quartos,3 banheiros,94 m²,"Apartamento em Taguatinga, Brasília - DF - 048",1 vagas,R$ 3503,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,775/m²",2025-09-27 14:13,Apartamento_Taguatinga_94_354880_47,SIM_0048
"R$ 700,000",4 quartos,3 banheiros,155 m²,"Apartamento em Vicente Pires, Brasília - DF - 049",2 vagas,R$ 4344,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,516/m²",2025-09-27 14:13,Apartamento_Vicente Pires_155_700000_48,SIM_0049
"R$ 478,623",2 quartos,2 banheiros,95 m²,"Duplex em Águas Claras, Brasília - DF - 050",1 vagas,R$ 5405,Simulação Realística v2.0,duplex,venda,Águas Claras,"R$ 5,038/m²",2025-09-27 14:13,Duplex_Águas Claras_95_478623_49,SIM_0050
"R$ 285,388",2 quartos,1 banheiros,76 m²,"Apartamento em Taguatinga, Brasília - DF - 051",1 vagas,R$ 3937,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,755/m²",2025-09-27 14:13,Apartamento_Taguatinga_76_285388_50,SIM_0051
"R$ 347,383",3 quartos,3 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 052",2 vagas,R$ 2112,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,473/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_347383_51,SIM_0052
"R$ 400,000",1 quartos,1 banheiros,58 m²,"Flat em Asa Norte, Brasília - DF - 053",1 vagas,R$ 5865,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 6,896/m²",2025-09-27 14:13,Flat_Asa Norte_58_400000_52,SIM_0053
"R$ 200,000",1 quartos,1 banheiros,67 m²,"Studio em Taguatinga, Brasília - DF - 054",1 vagas,R$ 1226,Simulação Realística v2.0,studio,venda,Taguatinga,"R$ 2,985/m²",2025-09-27 14:13,Studio_Taguatinga_67_200000_53,SIM_0054
"R$ 551,881",2 quartos,2 banheiros,103 m²,"Apartamento em Vicente Pires, Brasília - DF - 055",2 vagas,R$ 6189,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 5,358/m²",2025-09-27 14:13,Apartamento_Vicente Pires_103_551881_54,SIM_0055
"R$ 468,270",3 quartos,2 banheiros,98 m²,"Apartamento em Guará, Brasília - DF - 056",2 vagas,R$ 4098,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,778/m²",2025-09-27 14:13,Apartamento_Guará_98_468270_55,SIM_0056
"R$ 705,536",3 quartos,3 banheiros,88 m²,"Apartamento em Asa Norte, Brasília - DF - 057",2 vagas,R$ 5500,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 8,017/m²",2025-09-27 14:13,Apartamento_Asa Norte_88_705536_56,SIM_0057
