preco,quartos,banheiros,area,endereco,vagas_garagem,condominio,fonte,tipo,transacao,regiao,preco_m2,data_coleta,id_unico,id_simulado,preco_numerico,area_numerica,quartos_numerico,banheiros_numerico,bairro,cidade,uf,preco_por_m2,area_por_quarto,razao_banheiro_quarto,categoria_preco,categoria_area
"R$ 710,219",3 quartos,3 banheiros,120 m²,"Apartamento em Águas Claras, Brasília - DF - 003",1 vagas,R$ 6971,Viva Real DF,apartamento,venda,Águas Claras,"R$ 5,918/m²",2025-09-27 14:13,Apartamento_Águas Claras_120_710219_2,SIM_0003,710219.0,120,3,3,Águas Claras,Brasília,DF,5918.491666666667,40.0,1.0,Alto,Amplo
"R$ 433,082",2 quartos,2 banheiros,73 m²,"Apartamento em Águas Claras, Brasília - DF - 004",2 vagas,R$ 4506,Viva Real DF,apartamento,venda,Águas Claras,"R$ 5,932/m²",2025-09-27 14:13,Apartamento_Águas Claras_73_433082_3,SIM_0004,433082.0,73,2,2,Águas Claras,Brasília,DF,5932.630136986301,36.5,1.0,Médio,Médio
"R$ 722,336",2 quartos,2 banheiros,84 m²,"Apartamento em Asa Sul, Brasília - DF - 005",2 vagas,R$ 6224,Viva Real DF,apartamento,venda,Asa Sul,"R$ 8,599/m²",2025-09-27 14:13,Apartamento_Asa Sul_84_722336_4,SIM_0005,722336.0,84,2,2,Asa Sul,Brasília,DF,8599.238095238095,42.0,1.0,Alto,Amplo
"R$ 365,443",3 quartos,3 banheiros,82 m²,"Apartamento em Taguatinga, Brasília - DF - 006",1 vagas,R$ 4953,Viva Real DF,apartamento,venda,Taguatinga,"R$ 4,456/m²",2025-09-27 14:13,Apartamento_Taguatinga_82_365443_5,SIM_0006,365443.0,82,3,3,Taguatinga,Brasília,DF,4456.621951219512,27.333333333333332,1.0,Médio,Amplo
"R$ 400,000",1 quartos,1 banheiros,45 m²,"Flat em Asa Norte, Brasília - DF - 007",0 vagas,R$ 4797,Viva Real DF,flat,venda,Asa Norte,"R$ 8,888/m²",2025-09-27 14:13,Flat_Asa Norte_45_400000_6,SIM_0007,400000.0,45,1,1,Asa Norte,Brasília,DF,8888.888888888889,45.0,1.0,Médio,Compacto
"R$ 500,000",4 quartos,4 banheiros,120 m²,"Cobertura em Taguatinga, Brasília - DF - 008",0 vagas,R$ 4248,Viva Real DF,cobertura,venda,Taguatinga,"R$ 4,166/m²",2025-09-27 14:13,Cobertura_Taguatinga_120_500000_7,SIM_0008,500000.0,120,4,4,Taguatinga,Brasília,DF,4166.666666666667,30.0,1.0,Médio,Amplo
"R$ 450,000",1 quartos,1 banheiros,50 m²,"Studio em Asa Sul, Brasília - DF - 009",2 vagas,R$ 2401,Viva Real DF,studio,venda,Asa Sul,"R$ 9,000/m²",2025-09-27 14:13,Studio_Asa Sul_50_450000_8,SIM_0009,450000.0,50,1,1,Asa Sul,Brasília,DF,9000.0,50.0,1.0,Médio,Compacto
"R$ 280,000",1 quartos,1 banheiros,60 m²,"Flat em Vicente Pires, Brasília - DF - 010",1 vagas,R$ 2436,Viva Real DF,flat,venda,Vicente Pires,"R$ 4,666/m²",2025-09-27 14:13,Flat_Vicente Pires_60_280000_9,SIM_0010,280000.0,60,1,1,Vicente Pires,Brasília,DF,4666.666666666667,60.0,1.0,Econômico,Compacto
"R$ 562,315",2 quartos,1 banheiros,91 m²,"Apartamento em Asa Sul, Brasília - DF - 001",2 vagas,R$ 6767,OLX Imóveis DF,apartamento,venda,Asa Sul,"R$ 6,179/m²",2025-09-27 14:13,Apartamento_Asa Sul_91_562315_0,SIM_0001,562315.0,91,2,1,Asa Sul,Brasília,DF,6179.285714285715,45.5,0.5,Alto,Amplo
"R$ 558,285",3 quartos,3 banheiros,81 m²,"Apartamento em Asa Norte, Brasília - DF - 003",2 vagas,R$ 7779,OLX Imóveis DF,apartamento,venda,Asa Norte,"R$ 6,892/m²",2025-09-27 14:13,Apartamento_Asa Norte_81_558285_2,SIM_0003,558285.0,81,3,3,Asa Norte,Brasília,DF,6892.407407407408,27.0,1.0,Alto,Amplo
"R$ 418,791",2 quartos,2 banheiros,85 m²,"Apartamento em Águas Claras, Brasília - DF - 004",3 vagas,R$ 4151,OLX Imóveis DF,apartamento,venda,Águas Claras,"R$ 4,926/m²",2025-09-27 14:13,Apartamento_Águas Claras_85_418791_3,SIM_0004,418791.0,85,2,2,Águas Claras,Brasília,DF,4926.952941176471,42.5,1.0,Médio,Amplo
"R$ 350,000",4 quartos,4 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 005",2 vagas,R$ 2935,OLX Imóveis DF,apartamento,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_350000_4,SIM_0005,350000.0,100,4,4,Ceilândia,Brasília,DF,3500.0,25.0,1.0,Médio,Amplo
"R$ 759,019",4 quartos,4 banheiros,121 m²,"Apartamento em Sudoeste, Brasília - DF - 006",3 vagas,R$ 11187,OLX Imóveis DF,apartamento,venda,Sudoeste,"R$ 6,272/m²",2025-09-27 14:13,Apartamento_Sudoeste_121_759019_5,SIM_0006,759019.0,121,4,4,Sudoeste,Brasília,DF,6272.884297520661,30.25,1.0,Alto,Extra Grande
"R$ 465,962",3 quartos,3 banheiros,112 m²,"Apartamento em Águas Claras, Brasília - DF - 007",1 vagas,R$ 5152,OLX Imóveis DF,apartamento,venda,Águas Claras,"R$ 4,160/m²",2025-09-27 14:13,Apartamento_Águas Claras_112_465962_6,SIM_0007,465962.0,112,3,3,Águas Claras,Brasília,DF,4160.375,37.333333333333336,1.0,Médio,Amplo
"R$ 409,201",2 quartos,2 banheiros,61 m²,"Apartamento em Sudoeste, Brasília - DF - 008",2 vagas,R$ 3671,OLX Imóveis DF,apartamento,venda,Sudoeste,"R$ 6,708/m²",2025-09-27 14:13,Apartamento_Sudoeste_61_409201_7,SIM_0008,409201.0,61,2,2,Sudoeste,Brasília,DF,6708.213114754099,30.5,1.0,Médio,Médio
"R$ 500,000",3 quartos,3 banheiros,118 m²,"Cobertura em Taguatinga, Brasília - DF - 009",2 vagas,R$ 2960,OLX Imóveis DF,cobertura,venda,Taguatinga,"R$ 4,237/m²",2025-09-27 14:13,Cobertura_Taguatinga_118_500000_8,SIM_0009,500000.0,118,3,3,Taguatinga,Brasília,DF,4237.28813559322,39.333333333333336,1.0,Médio,Amplo
"R$ 283,053",2 quartos,2 banheiros,64 m²,"Apartamento em Guará, Brasília - DF - 010",2 vagas,R$ 3374,OLX Imóveis DF,apartamento,venda,Guará,"R$ 4,422/m²",2025-09-27 14:13,Apartamento_Guará_64_283053_9,SIM_0010,283053.0,64,2,2,Guará,Brasília,DF,4422.703125,32.0,1.0,Econômico,Médio
"R$ 502,094",3 quartos,2 banheiros,98 m²,"Apartamento em Águas Claras, Brasília - DF - 001",1 vagas,R$ 5402,QuintoAndar DF,apartamento,venda,Águas Claras,"R$ 5,123/m²",2025-09-27 14:13,Apartamento_Águas Claras_98_502094_0,SIM_0001,502094.0,98,3,2,Águas Claras,Brasília,DF,5123.408163265306,32.666666666666664,0.6666666666666666,Alto,Amplo
"R$ 300,000",1 quartos,1 banheiros,51 m²,"Flat em Águas Claras, Brasília - DF - 002",1 vagas,R$ 2664,QuintoAndar DF,flat,venda,Águas Claras,"R$ 5,882/m²",2025-09-27 14:13,Flat_Águas Claras_51_300000_1,SIM_0002,300000.0,51,1,1,Águas Claras,Brasília,DF,5882.35294117647,51.0,1.0,Econômico,Compacto
"R$ 744,356",3 quartos,2 banheiros,111 m²,"Cobertura em Sudoeste, Brasília - DF - 003",1 vagas,R$ 10124,QuintoAndar DF,cobertura,venda,Sudoeste,"R$ 6,705/m²",2025-09-27 14:13,Cobertura_Sudoeste_111_744356_2,SIM_0003,744356.0,111,3,2,Sudoeste,Brasília,DF,6705.90990990991,37.0,0.6666666666666666,Alto,Amplo
"R$ 288,984",1 quartos,1 banheiros,66 m²,"Flat em Taguatinga, Brasília - DF - 004",2 vagas,R$ 4270,QuintoAndar DF,flat,venda,Taguatinga,"R$ 4,378/m²",2025-09-27 14:13,Flat_Taguatinga_66_288984_3,SIM_0004,288984.0,66,1,1,Taguatinga,Brasília,DF,4378.545454545455,66.0,1.0,Econômico,Médio
"R$ 319,570",2 quartos,2 banheiros,82 m²,"Apartamento em Ceilândia, Brasília - DF - 005",1 vagas,R$ 1656,QuintoAndar DF,apartamento,venda,Ceilândia,"R$ 3,897/m²",2025-09-27 14:13,Apartamento_Ceilândia_82_319570_4,SIM_0005,319570.0,82,2,2,Ceilândia,Brasília,DF,3897.1951219512193,41.0,1.0,Médio,Amplo
"R$ 800,000",3 quartos,2 banheiros,123 m²,"Apartamento em Águas Claras, Brasília - DF - 006",2 vagas,R$ 9511,QuintoAndar DF,apartamento,venda,Águas Claras,"R$ 6,504/m²",2025-09-27 14:13,Apartamento_Águas Claras_123_800000_5,SIM_0006,800000.0,123,3,2,Águas Claras,Brasília,DF,6504.065040650406,41.0,0.6666666666666666,Alto,Extra Grande
"R$ 371,269",2 quartos,2 banheiros,82 m²,"Apartamento em Taguatinga, Brasília - DF - 007",2 vagas,R$ 2652,QuintoAndar DF,apartamento,venda,Taguatinga,"R$ 4,527/m²",2025-09-27 14:13,Apartamento_Taguatinga_82_371269_6,SIM_0007,371269.0,82,2,2,Taguatinga,Brasília,DF,4527.670731707317,41.0,1.0,Médio,Amplo
"R$ 150,000",1 quartos,1 banheiros,40 m²,"Studio em Ceilândia, Brasília - DF - 008",2 vagas,R$ 1627,QuintoAndar DF,studio,venda,Ceilândia,"R$ 3,750/m²",2025-09-27 14:13,Studio_Ceilândia_40_150000_7,SIM_0008,150000.0,40,1,1,Ceilândia,Brasília,DF,3750.0,40.0,1.0,Econômico,Compacto
"R$ 319,317",2 quartos,2 banheiros,95 m²,"Apartamento em Guará, Brasília - DF - 009",1 vagas,R$ 3416,QuintoAndar DF,apartamento,venda,Guará,"R$ 3,361/m²",2025-09-27 14:13,Apartamento_Guará_95_319317_8,SIM_0009,319317.0,95,2,2,Guará,Brasília,DF,3361.2315789473682,47.5,1.0,Médio,Amplo
"R$ 289,730",1 quartos,1 banheiros,62 m²,"Flat em Vicente Pires, Brasília - DF - 010",1 vagas,R$ 3457,QuintoAndar DF,flat,venda,Vicente Pires,"R$ 4,673/m²",2025-09-27 14:13,Flat_Vicente Pires_62_289730_9,SIM_0010,289730.0,62,1,1,Vicente Pires,Brasília,DF,4673.064516129032,62.0,1.0,Econômico,Médio
"R$ 372,302",2 quartos,2 banheiros,78 m²,"Apartamento em Taguatinga, Brasília - DF - 011",1 vagas,R$ 3650,QuintoAndar DF,apartamento,venda,Taguatinga,"R$ 4,773/m²",2025-09-27 14:13,Apartamento_Taguatinga_78_372302_10,SIM_0011,372302.0,78,2,2,Taguatinga,Brasília,DF,4773.102564102564,39.0,1.0,Médio,Médio
"R$ 310,801",1 quartos,1 banheiros,60 m²,"Apartamento em Vicente Pires, Brasília - DF - 012",1 vagas,R$ 3633,QuintoAndar DF,apartamento,venda,Vicente Pires,"R$ 5,180/m²",2025-09-27 14:13,Apartamento_Vicente Pires_60_310801_11,SIM_0012,310801.0,60,1,1,Vicente Pires,Brasília,DF,5180.016666666666,60.0,1.0,Médio,Compacto
"R$ 350,000",4 quartos,4 banheiros,100 m²,"Cobertura em Ceilândia, Brasília - DF - 013",1 vagas,R$ 2808,QuintoAndar DF,cobertura,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Cobertura_Ceilândia_100_350000_12,SIM_0013,350000.0,100,4,4,Ceilândia,Brasília,DF,3500.0,25.0,1.0,Médio,Amplo
"R$ 250,000",1 quartos,1 banheiros,50 m²,"Apartamento em Guará, Brasília - DF - 014",1 vagas,R$ 3704,QuintoAndar DF,apartamento,venda,Guará,"R$ 5,000/m²",2025-09-27 14:13,Apartamento_Guará_50_250000_13,SIM_0014,250000.0,50,1,1,Guará,Brasília,DF,5000.0,50.0,1.0,Econômico,Compacto
"R$ 706,840",3 quartos,3 banheiros,96 m²,"Apartamento em Asa Sul, Brasília - DF - 001",1 vagas,R$ 5777,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 7,362/m²",2025-09-27 14:13,Apartamento_Asa Sul_96_706840_0,SIM_0001,706840.0,96,3,3,Asa Sul,Brasília,DF,7362.916666666667,32.0,1.0,Alto,Amplo
"R$ 286,875",3 quartos,3 banheiros,94 m²,"Apartamento em Taguatinga, Brasília - DF - 002",0 vagas,R$ 3532,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,051/m²",2025-09-27 14:13,Apartamento_Taguatinga_94_286875_1,SIM_0002,286875.0,94,3,3,Taguatinga,Brasília,DF,3051.8617021276596,31.333333333333332,1.0,Econômico,Amplo
"R$ 397,021",1 quartos,1 banheiros,70 m²,"Studio em Águas Claras, Brasília - DF - 003",2 vagas,R$ 2697,Simulação Realística v2.0,studio,venda,Águas Claras,"R$ 5,671/m²",2025-09-27 14:13,Studio_Águas Claras_70_397021_2,SIM_0003,397021.0,70,1,1,Águas Claras,Brasília,DF,5671.728571428572,70.0,1.0,Médio,Médio
"R$ 400,000",1 quartos,1 banheiros,45 m²,"Flat em Asa Norte, Brasília - DF - 004",2 vagas,R$ 5069,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 8,888/m²",2025-09-27 14:13,Flat_Asa Norte_45_400000_3,SIM_0004,400000.0,45,1,1,Asa Norte,Brasília,DF,8888.888888888889,45.0,1.0,Médio,Compacto
"R$ 350,000",1 quartos,1 banheiros,65 m²,"Studio em Sudoeste, Brasília - DF - 005",1 vagas,R$ 2432,Simulação Realística v2.0,studio,venda,Sudoeste,"R$ 5,384/m²",2025-09-27 14:13,Studio_Sudoeste_65_350000_4,SIM_0005,350000.0,65,1,1,Sudoeste,Brasília,DF,5384.615384615385,65.0,1.0,Médio,Médio
"R$ 336,675",2 quartos,2 banheiros,84 m²,"Apartamento em Vicente Pires, Brasília - DF - 006",1 vagas,R$ 4248,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,008/m²",2025-09-27 14:13,Apartamento_Vicente Pires_84_336675_5,SIM_0006,336675.0,84,2,2,Vicente Pires,Brasília,DF,4008.035714285714,42.0,1.0,Médio,Amplo
"R$ 578,487",4 quartos,4 banheiros,131 m²,"Apartamento em Vicente Pires, Brasília - DF - 007",2 vagas,R$ 5545,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,415/m²",2025-09-27 14:13,Apartamento_Vicente Pires_131_578487_6,SIM_0007,578487.0,131,4,4,Vicente Pires,Brasília,DF,4415.9312977099235,32.75,1.0,Alto,Extra Grande
"R$ 334,477",1 quartos,1 banheiros,61 m²,"Apartamento em Águas Claras, Brasília - DF - 008",2 vagas,R$ 4839,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,483/m²",2025-09-27 14:13,Apartamento_Águas Claras_61_334477_7,SIM_0008,334477.0,61,1,1,Águas Claras,Brasília,DF,5483.229508196721,61.0,1.0,Médio,Médio
"R$ 350,839",2 quartos,2 banheiros,83 m²,"Apartamento em Águas Claras, Brasília - DF - 009",2 vagas,R$ 2664,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 4,226/m²",2025-09-27 14:13,Apartamento_Águas Claras_83_350839_8,SIM_0009,350839.0,83,2,2,Águas Claras,Brasília,DF,4226.975903614458,41.5,1.0,Médio,Amplo
"R$ 700,000",4 quartos,3 banheiros,131 m²,"Cobertura em Vicente Pires, Brasília - DF - 010",1 vagas,R$ 9623,Simulação Realística v2.0,cobertura,venda,Vicente Pires,"R$ 5,343/m²",2025-09-27 14:13,Cobertura_Vicente Pires_131_700000_9,SIM_0010,700000.0,131,4,3,Vicente Pires,Brasília,DF,5343.511450381679,32.75,0.75,Alto,Extra Grande
"R$ 150,000",1 quartos,1 banheiros,40 m²,"Studio em Ceilândia, Brasília - DF - 011",1 vagas,R$ 1342,Simulação Realística v2.0,studio,venda,Ceilândia,"R$ 3,750/m²",2025-09-27 14:13,Studio_Ceilândia_40_150000_10,SIM_0011,150000.0,40,1,1,Ceilândia,Brasília,DF,3750.0,40.0,1.0,Econômico,Compacto
"R$ 309,188",1 quartos,1 banheiros,72 m²,"Flat em Guará, Brasília - DF - 012",1 vagas,R$ 4081,Simulação Realística v2.0,flat,venda,Guará,"R$ 4,294/m²",2025-09-27 14:13,Flat_Guará_72_309188_11,SIM_0012,309188.0,72,1,1,Guará,Brasília,DF,4294.277777777777,72.0,1.0,Médio,Médio
"R$ 643,315",2 quartos,1 banheiros,90 m²,"Apartamento em Asa Norte, Brasília - DF - 013",2 vagas,R$ 6234,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 7,147/m²",2025-09-27 14:13,Apartamento_Asa Norte_90_643315_12,SIM_0013,643315.0,90,2,1,Asa Norte,Brasília,DF,7147.944444444444,45.0,0.5,Alto,Amplo
"R$ 672,584",3 quartos,3 banheiros,86 m²,"Duplex em Asa Sul, Brasília - DF - 015",1 vagas,R$ 9113,Simulação Realística v2.0,duplex,venda,Asa Sul,"R$ 7,820/m²",2025-09-27 14:13,Duplex_Asa Sul_86_672584_14,SIM_0015,672584.0,86,3,3,Asa Sul,Brasília,DF,7820.7441860465115,28.666666666666668,1.0,Alto,Amplo
"R$ 449,710",1 quartos,1 banheiros,67 m²,"Apartamento em Águas Claras, Brasília - DF - 016",1 vagas,R$ 3062,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,712/m²",2025-09-27 14:13,Apartamento_Águas Claras_67_449710_15,SIM_0016,449710.0,67,1,1,Águas Claras,Brasília,DF,6712.089552238806,67.0,1.0,Médio,Médio
"R$ 288,238",2 quartos,1 banheiros,66 m²,"Flat em Taguatinga, Brasília - DF - 017",1 vagas,R$ 4264,Simulação Realística v2.0,flat,venda,Taguatinga,"R$ 4,367/m²",2025-09-27 14:13,Flat_Taguatinga_66_288238_16,SIM_0017,288238.0,66,2,1,Taguatinga,Brasília,DF,4367.242424242424,33.0,0.5,Econômico,Médio
"R$ 237,245",3 quartos,3 banheiros,89 m²,"Apartamento em Ceilândia, Brasília - DF - 018",1 vagas,R$ 2005,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,665/m²",2025-09-27 14:13,Apartamento_Ceilândia_89_237245_17,SIM_0018,237245.0,89,3,3,Ceilândia,Brasília,DF,2665.674157303371,29.666666666666668,1.0,Econômico,Amplo
"R$ 350,000",3 quartos,3 banheiros,98 m²,"Apartamento em Ceilândia, Brasília - DF - 019",0 vagas,R$ 3307,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,571/m²",2025-09-27 14:13,Apartamento_Ceilândia_98_350000_18,SIM_0019,350000.0,98,3,3,Ceilândia,Brasília,DF,3571.4285714285716,32.666666666666664,1.0,Médio,Amplo
"R$ 302,948",1 quartos,1 banheiros,50 m²,"Apartamento em Águas Claras, Brasília - DF - 020",1 vagas,R$ 1884,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,058/m²",2025-09-27 14:13,Apartamento_Águas Claras_50_302948_19,SIM_0020,302948.0,50,1,1,Águas Claras,Brasília,DF,6058.96,50.0,1.0,Médio,Compacto
"R$ 274,309",3 quartos,3 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 021",1 vagas,R$ 1669,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,743/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_274309_20,SIM_0021,274309.0,100,3,3,Ceilândia,Brasília,DF,2743.09,33.333333333333336,1.0,Econômico,Amplo
"R$ 437,412",2 quartos,1 banheiros,77 m²,"Flat em Asa Norte, Brasília - DF - 022",2 vagas,R$ 3656,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 5,680/m²",2025-09-27 14:13,Flat_Asa Norte_77_437412_21,SIM_0022,437412.0,77,2,1,Asa Norte,Brasília,DF,5680.675324675325,38.5,0.5,Médio,Médio
"R$ 500,051",2 quartos,2 banheiros,104 m²,"Apartamento em Vicente Pires, Brasília - DF - 023",2 vagas,R$ 2694,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,808/m²",2025-09-27 14:13,Apartamento_Vicente Pires_104_500051_22,SIM_0023,500051.0,104,2,2,Vicente Pires,Brasília,DF,4808.182692307692,52.0,1.0,Alto,Amplo
"R$ 638,481",2 quartos,2 banheiros,85 m²,"Apartamento em Sudoeste, Brasília - DF - 024",2 vagas,R$ 6857,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 7,511/m²",2025-09-27 14:13,Apartamento_Sudoeste_85_638481_23,SIM_0024,638481.0,85,2,2,Sudoeste,Brasília,DF,7511.541176470589,42.5,1.0,Alto,Amplo
"R$ 277,279",4 quartos,4 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 025",0 vagas,R$ 2287,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,772/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_277279_24,SIM_0025,277279.0,100,4,4,Ceilândia,Brasília,DF,2772.79,25.0,1.0,Econômico,Amplo
"R$ 200,000",1 quartos,1 banheiros,45 m²,"Apartamento em Taguatinga, Brasília - DF - 026",2 vagas,R$ 1463,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 4,444/m²",2025-09-27 14:13,Apartamento_Taguatinga_45_200000_25,SIM_0026,200000.0,45,1,1,Taguatinga,Brasília,DF,4444.444444444444,45.0,1.0,Econômico,Compacto
"R$ 350,000",1 quartos,1 banheiros,64 m²,"Flat em Sudoeste, Brasília - DF - 027",2 vagas,R$ 4004,Simulação Realística v2.0,flat,venda,Sudoeste,"R$ 5,468/m²",2025-09-27 14:13,Flat_Sudoeste_64_350000_26,SIM_0027,350000.0,64,1,1,Sudoeste,Brasília,DF,5468.75,64.0,1.0,Médio,Médio
"R$ 350,000",1 quartos,1 banheiros,47 m²,"Studio em Sudoeste, Brasília - DF - 028",2 vagas,R$ 4147,Simulação Realística v2.0,studio,venda,Sudoeste,"R$ 7,446/m²",2025-09-27 14:13,Studio_Sudoeste_47_350000_27,SIM_0028,350000.0,47,1,1,Sudoeste,Brasília,DF,7446.808510638298,47.0,1.0,Médio,Compacto
"R$ 240,335",2 quartos,2 banheiros,63 m²,"Apartamento em Taguatinga, Brasília - DF - 029",1 vagas,R$ 3521,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,814/m²",2025-09-27 14:13,Apartamento_Taguatinga_63_240335_28,SIM_0029,240335.0,63,2,2,Taguatinga,Brasília,DF,3814.84126984127,31.5,1.0,Econômico,Médio
"R$ 500,000",3 quartos,2 banheiros,115 m²,"Cobertura em Taguatinga, Brasília - DF - 030",0 vagas,R$ 7149,Simulação Realística v2.0,cobertura,venda,Taguatinga,"R$ 4,347/m²",2025-09-27 14:13,Cobertura_Taguatinga_115_500000_29,SIM_0030,500000.0,115,3,2,Taguatinga,Brasília,DF,4347.826086956522,38.333333333333336,0.6666666666666666,Médio,Amplo
"R$ 350,000",1 quartos,1 banheiros,49 m²,"Flat em Sudoeste, Brasília - DF - 031",1 vagas,R$ 4006,Simulação Realística v2.0,flat,venda,Sudoeste,"R$ 7,142/m²",2025-09-27 14:13,Flat_Sudoeste_49_350000_30,SIM_0031,350000.0,49,1,1,Sudoeste,Brasília,DF,7142.857142857143,49.0,1.0,Médio,Compacto
"R$ 624,478",3 quartos,3 banheiros,109 m²,"Apartamento em Águas Claras, Brasília - DF - 032",3 vagas,R$ 3554,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,729/m²",2025-09-27 14:13,Apartamento_Águas Claras_109_624478_31,SIM_0032,624478.0,109,3,3,Águas Claras,Brasília,DF,5729.155963302752,36.333333333333336,1.0,Alto,Amplo
